iter	MultiClass
0	0.7561114174
1	0.5817638584
2	0.4869334936
3	0.4307297755
4	0.3852667874
5	0.35913725
6	0.3441912855
7	0.3310021166
8	0.3233298421
9	0.3153822428
10	0.3054760403
11	0.2983085867
12	0.294542558
13	0.2905292258
14	0.2882570143
15	0.2841550203
16	0.279969198
17	0.2760695074
18	0.2737714583
19	0.2711798904
20	0.269687574
21	0.2671326115
22	0.2643110055
23	0.2628055642
24	0.2602736179
25	0.2587144449
26	0.2561478398
27	0.2541821079
28	0.2518483651
29	0.2509294286
30	0.2488666875
31	0.2454245369
32	0.243956662
33	0.2434533918
34	0.2415210055
35	0.2404828406
36	0.2390361724
37	0.2377057616
38	0.2357084844
39	0.2333021718
40	0.2314940389
41	0.2302540757
42	0.2286657213
43	0.2278789615
44	0.2271263791
45	0.2261335077
46	0.2250793197
47	0.224053729
48	0.2227635782
49	0.2204582859
50	0.2199161184
51	0.2193725414
52	0.2176877344
53	0.2167640243
54	0.2160030312
55	0.2150539214
56	0.2141506085
57	0.2126708294
58	0.2114956989
59	0.2101364329
60	0.2097924996
61	0.2092669892
62	0.2084506287
63	0.2073123787
64	0.2061831331
65	0.2049937379
66	0.2043394857
67	0.2027662259
68	0.2016410743
69	0.2012840409
70	0.2005616539
71	0.1998894172
72	0.1991885886
73	0.1986136359
74	0.1977525789
75	0.197251676
76	0.196265734
77	0.1959643246
78	0.1953216215
79	0.1947030755
80	0.1944339304
81	0.1936795004
82	0.1929641373
83	0.1922843784
84	0.191699575
85	0.1912770107
86	0.1907867675
87	0.190556557
88	0.1897554204
89	0.1891638903
90	0.1888137282
91	0.188429145
92	0.1879405161
93	0.1872909397
94	0.1867076564
95	0.1862807076
96	0.1851633861
97	0.1847810646
98	0.184576737
99	0.1834885599
100	0.1829077676
101	0.1825031275
102	0.1816265829
103	0.1812163007
104	0.1808924659
105	0.1802982657
106	0.1799540946
107	0.1790074462
108	0.178643973
109	0.1783893589
110	0.1781073403
111	0.1777469948
112	0.1771902597
113	0.1764613863
114	0.1756529614
115	0.1748966812
116	0.1744511091
117	0.1740817754
118	0.1733179347
119	0.1729582913
120	0.1723265909
121	0.1718705637
122	0.1715475622
123	0.1712879227
124	0.1709978842
125	0.1705603328
126	0.1702266551
127	0.1698247375
128	0.1693762689
129	0.1686614376
130	0.1683030832
131	0.1676835042
132	0.1674132715
133	0.1671259863
134	0.1669045122
135	0.1665517898
136	0.1659896728
137	0.1658343214
138	0.165537509
139	0.164563262
140	0.1641773022
141	0.1636139044
142	0.1633075212
143	0.1629033053
144	0.16247444
145	0.162075407
146	0.1617354203
147	0.1612077716
148	0.1608491144
149	0.1606066821
150	0.160333672
151	0.1598775149
152	0.1594314368
153	0.1592015934
154	0.1589106387
155	0.158556121
156	0.158454583
157	0.1576218711
158	0.1570111063
159	0.1565948011
160	0.1563225583
161	0.1557313167
162	0.1555357747
163	0.1552759166
164	0.1547439938
165	0.1542166099
166	0.1539191179
167	0.1535734922
168	0.1534172156
169	0.1528310867
170	0.1526343382
171	0.1522125112
172	0.1518832876
173	0.1516387146
174	0.1514509291
175	0.1506239156
176	0.1503822172
177	0.1502487156
178	0.1498418042
179	0.1496951249
180	0.149456353
181	0.1490841806
182	0.1489267826
183	0.1486500117
184	0.1483445458
185	0.147968552
186	0.1477633641
187	0.1473495164
188	0.1470242731
189	0.1468023074
190	0.1463732712
191	0.1460348583
192	0.1458686838
193	0.1455121368
194	0.1453719631
195	0.1451518963
196	0.1448708538
197	0.1445569583
198	0.1441372879
199	0.1438602899
