iter	Passed	Remaining
0	30	6158
1	62	6183
2	94	6196
3	127	6237
4	161	6304
5	192	6236
6	224	6193
7	254	6100
8	286	6073
9	323	6139
10	355	6115
11	387	6069
12	417	5998
13	454	6043
14	482	5953
15	517	5947
16	553	5963
17	585	5921
18	611	5822
19	649	5847
20	684	5834
21	712	5767
22	745	5734
23	773	5674
24	798	5588
25	826	5533
26	859	5505
27	887	5448
28	912	5379
29	936	5307
30	970	5291
31	995	5227
32	1022	5175
33	1051	5131
34	1079	5089
35	1105	5036
36	1135	5001
37	1160	4948
38	1188	4908
39	1222	4889
40	1248	4841
41	1276	4803
42	1308	4777
43	1333	4729
44	1363	4695
45	1385	4638
46	1411	4594
47	1435	4545
48	1463	4509
49	1492	4477
50	1521	4445
51	1545	4398
52	1572	4361
53	1607	4347
54	1639	4323
55	1668	4290
56	1696	4256
57	1726	4227
58	1757	4200
59	1789	4174
60	1815	4136
61	1840	4097
62	1874	4076
63	1909	4056
64	1938	4025
65	1967	3994
66	1995	3962
67	2029	3939
68	2066	3922
69	2094	3888
70	2120	3852
71	2147	3817
72	2175	3784
73	2201	3747
74	2224	3707
75	2255	3679
76	2283	3647
77	2318	3625
78	2344	3591
79	2373	3559
80	2400	3526
81	2427	3493
82	2463	3472
83	2490	3439
84	2520	3410
85	2544	3372
86	2567	3335
87	2594	3302
88	2624	3273
89	2648	3237
90	2682	3213
91	2710	3182
92	2738	3151
93	2776	3130
94	2806	3102
95	2834	3070
96	2868	3046
97	2895	3014
98	2927	2986
99	2963	2963
100	2988	2929
101	3017	2899
102	3048	2870
103	3078	2841
104	3107	2811
105	3137	2781
106	3170	2755
107	3205	2730
108	3236	2702
109	3261	2668
110	3286	2634
111	3315	2605
112	3347	2577
113	3381	2550
114	3419	2527
115	3450	2498
116	3488	2474
117	3519	2445
118	3552	2417
119	3586	2391
120	3611	2357
121	3636	2325
122	3662	2292
123	3687	2260
124	3717	2230
125	3748	2201
126	3774	2169
127	3807	2141
128	3844	2115
129	3871	2084
130	3901	2055
131	3938	2029
132	3969	1999
133	3995	1968
134	4022	1936
135	4054	1908
136	4088	1879
137	4115	1848
138	4144	1818
139	4181	1792
140	4217	1764
141	4247	1735
142	4286	1708
143	4320	1680
144	4353	1651
145	4377	1619
146	4406	1588
147	4435	1558
148	4463	1527
149	4489	1496
150	4518	1466
151	4546	1435
152	4572	1404
153	4599	1373
154	4630	1344
155	4658	1313
156	4688	1284
157	4722	1255
158	4750	1225
159	4783	1195
160	4811	1165
161	4838	1134
162	4869	1105
163	4897	1075
164	4924	1044
165	4958	1015
166	4984	984
167	5013	954
168	5043	925
169	5073	895
170	5105	865
171	5136	836
172	5171	807
173	5204	777
174	5228	746
175	5259	717
176	5289	687
177	5317	657
178	5344	627
179	5369	596
180	5393	566
181	5425	536
182	5464	507
183	5494	477
184	5525	448
185	5559	418
186	5594	388
187	5624	359
188	5654	329
189	5682	299
190	5709	269
191	5736	239
192	5771	209
193	5801	179
194	5828	149
195	5859	119
196	5893	89
197	5934	59
198	5973	30
199	6001	0
