date,total_night_hours,hot_night_hours_35,NHRI_35,hot_night_hours_40,NHRI_40,max_daytime_FeelsLikeC,mean_nighttime_FeelsLikeC,nhri_category_35,nhri_category_40
2009-01-02,9,0,0.0,0,0.0,6,-0.78,Full nighttime recovery,Full nighttime recovery
2009-01-03,9,0,0.0,0,0.0,9,-0.56,Full nighttime recovery,Full nighttime recovery
2009-01-04,9,0,0.0,0,0.0,11,1.67,Full nighttime recovery,Full nighttime recovery
2009-01-05,9,0,0.0,0,0.0,16,4.0,Full nighttime recovery,Full nighttime recovery
2009-01-06,9,0,0.0,0,0.0,16,5.89,Full nighttime recovery,Full nighttime recovery
2009-01-07,9,0,0.0,0,0.0,18,7.22,Full nighttime recovery,Full nighttime recovery
2009-01-08,9,0,0.0,0,0.0,20,7.78,Full nighttime recovery,Full nighttime recovery
2009-01-09,9,0,0.0,0,0.0,19,8.22,Full nighttime recovery,Full nighttime recovery
2009-01-10,9,0,0.0,0,0.0,16,5.78,Full nighttime recovery,Full nighttime recovery
2009-01-11,9,0,0.0,0,0.0,16,5.67,Full nighttime recovery,Full nighttime recovery
2009-01-12,9,0,0.0,0,0.0,10,3.67,Full nighttime recovery,Full nighttime recovery
2009-01-13,9,0,0.0,0,0.0,12,1.89,Full nighttime recovery,Full nighttime recovery
2009-01-14,9,0,0.0,0,0.0,14,3.67,Full nighttime recovery,Full nighttime recovery
2009-01-15,9,0,0.0,0,0.0,16,5.11,Full nighttime recovery,Full nighttime recovery
2009-01-16,9,0,0.0,0,0.0,18,6.11,Full nighttime recovery,Full nighttime recovery
2009-01-17,9,0,0.0,0,0.0,17,6.44,Full nighttime recovery,Full nighttime recovery
2009-01-18,9,0,0.0,0,0.0,18,8.44,Full nighttime recovery,Full nighttime recovery
2009-01-19,9,0,0.0,0,0.0,19,8.44,Full nighttime recovery,Full nighttime recovery
2009-01-20,9,0,0.0,0,0.0,18,9.33,Full nighttime recovery,Full nighttime recovery
2009-01-21,9,0,0.0,0,0.0,19,8.67,Full nighttime recovery,Full nighttime recovery
2009-01-22,9,0,0.0,0,0.0,17,8.22,Full nighttime recovery,Full nighttime recovery
2009-01-23,9,0,0.0,0,0.0,17,7.0,Full nighttime recovery,Full nighttime recovery
2009-01-24,9,0,0.0,0,0.0,15,7.78,Full nighttime recovery,Full nighttime recovery
2009-01-25,9,0,0.0,0,0.0,19,10.11,Full nighttime recovery,Full nighttime recovery
2009-01-26,9,0,0.0,0,0.0,19,9.22,Full nighttime recovery,Full nighttime recovery
2009-01-27,9,0,0.0,0,0.0,22,10.22,Full nighttime recovery,Full nighttime recovery
2009-01-28,9,0,0.0,0,0.0,19,10.56,Full nighttime recovery,Full nighttime recovery
2009-01-29,9,0,0.0,0,0.0,21,12.89,Full nighttime recovery,Full nighttime recovery
2009-01-30,9,0,0.0,0,0.0,24,14.11,Full nighttime recovery,Full nighttime recovery
2009-01-31,9,0,0.0,0,0.0,24,13.11,Full nighttime recovery,Full nighttime recovery
2009-02-01,9,0,0.0,0,0.0,21,12.44,Full nighttime recovery,Full nighttime recovery
2009-02-02,9,0,0.0,0,0.0,21,11.22,Full nighttime recovery,Full nighttime recovery
2009-02-03,9,0,0.0,0,0.0,20,11.22,Full nighttime recovery,Full nighttime recovery
2009-02-04,9,0,0.0,0,0.0,19,9.33,Full nighttime recovery,Full nighttime recovery
2009-02-05,9,0,0.0,0,0.0,20,9.11,Full nighttime recovery,Full nighttime recovery
2009-02-06,9,0,0.0,0,0.0,22,12.44,Full nighttime recovery,Full nighttime recovery
2009-02-07,9,0,0.0,0,0.0,24,14.78,Full nighttime recovery,Full nighttime recovery
2009-02-08,9,0,0.0,0,0.0,23,14.33,Full nighttime recovery,Full nighttime recovery
2009-02-09,9,0,0.0,0,0.0,23,14.78,Full nighttime recovery,Full nighttime recovery
2009-02-10,9,0,0.0,0,0.0,24,17.0,Full nighttime recovery,Full nighttime recovery
2009-02-11,9,0,0.0,0,0.0,19,14.67,Full nighttime recovery,Full nighttime recovery
2009-02-12,9,0,0.0,0,0.0,21,11.67,Full nighttime recovery,Full nighttime recovery
2009-02-13,9,0,0.0,0,0.0,22,12.0,Full nighttime recovery,Full nighttime recovery
2009-02-14,9,0,0.0,0,0.0,21,13.44,Full nighttime recovery,Full nighttime recovery
2009-02-15,9,0,0.0,0,0.0,25,16.56,Full nighttime recovery,Full nighttime recovery
2009-02-16,9,0,0.0,0,0.0,24,14.89,Full nighttime recovery,Full nighttime recovery
2009-02-17,9,0,0.0,0,0.0,21,14.0,Full nighttime recovery,Full nighttime recovery
2009-02-18,9,0,0.0,0,0.0,19,9.89,Full nighttime recovery,Full nighttime recovery
2009-02-19,9,0,0.0,0,0.0,21,11.11,Full nighttime recovery,Full nighttime recovery
2009-02-20,9,0,0.0,0,0.0,23,14.33,Full nighttime recovery,Full nighttime recovery
2009-02-21,9,0,0.0,0,0.0,22,14.33,Full nighttime recovery,Full nighttime recovery
2009-02-22,9,0,0.0,0,0.0,19,11.0,Full nighttime recovery,Full nighttime recovery
2009-02-23,9,0,0.0,0,0.0,21,11.78,Full nighttime recovery,Full nighttime recovery
2009-02-24,9,0,0.0,0,0.0,21,12.67,Full nighttime recovery,Full nighttime recovery
2009-02-25,9,0,0.0,0,0.0,24,13.0,Full nighttime recovery,Full nighttime recovery
2009-02-26,9,0,0.0,0,0.0,23,14.78,Full nighttime recovery,Full nighttime recovery
